observation_strategy,method,dimension,runtime_seconds_mean,runtime_seconds_std,n_runs
deep,block_gibbs,40,0.23179330742685125,0.008799666037307412,100
deep,rw_mh,40,0.004994131610146724,0.00030305345577076674,100
deep,single_site_gibbs,40,0.0629695641878061,0.0027078022264076457,100
shallow,block_gibbs,40,0.2290986541629536,0.016143554370694042,100
shallow,rw_mh,40,0.005001574524794705,0.00039751250454248633,100
shallow,single_site_gibbs,40,0.0630442116735503,0.003021638265722512,100
uniform,block_gibbs,40,0.23373817700950894,0.026620371933183923,100
uniform,rw_mh,40,0.005131347522255965,0.0010832433681241833,100
uniform,single_site_gibbs,40,0.06291697951732203,0.0028228145018492656,100
