observation_strategy,method,dimension,mean_rmse_mean,mean_rmse_std,n_runs
deep,block_gibbs,40,0.15010494481675477,0.1684365119975621,120
deep,rw_mh,40,0.09127314044362089,0.19483436175060526,120
deep,single_site_gibbs,40,0.16143905816604123,0.16008169101122802,120
shallow,block_gibbs,40,0.37230434493128367,0.3363552474285545,120
shallow,rw_mh,40,0.1705653897515784,0.26042174274121627,120
shallow,single_site_gibbs,40,0.3630091423220933,0.3691672502572986,120
uniform,block_gibbs,40,0.21736799356528405,0.19403853311585664,120
uniform,rw_mh,40,0.09343438531420499,0.20074146166569803,120
uniform,single_site_gibbs,40,0.23938576076178134,0.21622500750702603,120
