observation_strategy,method,correlation,variance_rmse_mean,variance_rmse_std,n_runs
deep,block_gibbs,0.7,0.08339313238053918,0.028507785405342326,10
deep,block_gibbs,0.75,0.13169068553377455,0.07446807035792556,10
deep,block_gibbs,0.8,0.1416211147210234,0.08037076266585648,10
deep,block_gibbs,0.85,0.13942170229925546,0.07009803155898857,10
deep,block_gibbs,0.9,0.2036325601505684,0.10450051273548862,10
deep,block_gibbs,0.95,0.20465947493633657,0.12531896090109798,10
deep,block_gibbs,1.0,0.622824239617237,1.0336646237088034,10
deep,block_gibbs,1.05,0.38290644691537273,0.22528414306453012,10
deep,block_gibbs,1.1,0.35242803848363424,0.3075706070159981,10
deep,block_gibbs,1.15,0.3875915254077772,0.4437006989638601,10
deep,block_gibbs,1.2,0.5935070692658658,0.6585329571901418,10
deep,block_gibbs,1.25,0.7536026063305536,0.38883308991505894,10
deep,rw_mh,0.7,1.0754367101674278,0.27459935901445154,10
deep,rw_mh,0.75,1.8668692314925892,0.4011980428466786,10
deep,rw_mh,0.8,1.8736098557725072,0.6551264046807734,10
deep,rw_mh,0.85,2.1575279889565975,0.9540041773776103,10
deep,rw_mh,0.9,2.5973004457771993,0.6709927424645026,10
deep,rw_mh,0.95,2.2972866180567117,0.5560546340583928,10
deep,rw_mh,1.0,3.276564396466862,1.0768501571162803,10
deep,rw_mh,1.05,2.994205815783612,1.293850046247667,10
deep,rw_mh,1.1,3.53136577016413,0.9651319675524684,10
deep,rw_mh,1.15,3.229912906439908,1.3712878656730971,10
deep,rw_mh,1.2,4.853974870558881,2.470605518185299,10
deep,rw_mh,1.25,6.649118467548449,2.958942015638999,10
deep,single_site_gibbs,0.7,0.09288454596694881,0.030480676573600436,10
deep,single_site_gibbs,0.75,0.15403149508875638,0.06826991765425917,10
deep,single_site_gibbs,0.8,0.15454209395047544,0.0982544077711116,10
deep,single_site_gibbs,0.85,0.28353533690548993,0.36532228011904094,10
deep,single_site_gibbs,0.9,0.21343772807297495,0.06051341528678146,10
deep,single_site_gibbs,0.95,0.2101954967173703,0.12074509194537178,10
deep,single_site_gibbs,1.0,0.3620924093381813,0.19313952937182155,10
deep,single_site_gibbs,1.05,0.27953213673242283,0.18220370196162558,10
deep,single_site_gibbs,1.1,0.4998567465973446,0.30557572773368485,10
deep,single_site_gibbs,1.15,0.3950635375321763,0.37798512429739156,10
deep,single_site_gibbs,1.2,0.7769725104758758,0.8052829184509461,10
deep,single_site_gibbs,1.25,0.9497298116271693,0.7912510055622791,10
shallow,block_gibbs,0.7,0.17552264517436025,0.08403535739156141,10
shallow,block_gibbs,0.75,0.3406102955561413,0.14784612438710762,10
shallow,block_gibbs,0.8,0.3991555398364318,0.2520508541384868,10
shallow,block_gibbs,0.85,0.6329774108493635,0.4097372603161341,10
shallow,block_gibbs,0.9,0.6048457136772711,0.2712194008486535,10
shallow,block_gibbs,0.95,0.5687750439665901,0.38011126119834876,10
shallow,block_gibbs,1.0,1.249806717784691,0.8166203148971056,10
shallow,block_gibbs,1.05,1.668086585033486,1.2846696587282145,10
shallow,block_gibbs,1.1,2.4419619799796055,1.34317885274406,10
shallow,block_gibbs,1.15,1.8498735816709218,1.0712892809493695,10
shallow,block_gibbs,1.2,2.99731520821789,2.707975670337428,10
shallow,block_gibbs,1.25,5.633940262548717,4.769672253675903,10
shallow,rw_mh,0.7,1.7735156195623656,0.43651385920592445,10
shallow,rw_mh,0.75,2.7133804993566057,0.6487605837326534,10
shallow,rw_mh,0.8,3.106154031860129,0.8029252901541373,10
shallow,rw_mh,0.85,3.9942632615020512,1.232387468991711,10
shallow,rw_mh,0.9,4.70658574057611,1.3883738788597846,10
shallow,rw_mh,0.95,4.909509499026148,1.4622391552287395,10
shallow,rw_mh,1.0,6.718502485335547,1.952184178485364,10
shallow,rw_mh,1.05,8.363678371428023,2.12089727237533,10
shallow,rw_mh,1.1,11.130198612833235,2.719066042184439,10
shallow,rw_mh,1.15,10.449927079877039,3.624804815827171,10
shallow,rw_mh,1.2,13.204201037129172,4.670874049721812,10
shallow,rw_mh,1.25,17.36177842576782,5.418159065276236,10
shallow,single_site_gibbs,0.7,0.1799858962718673,0.07790386455712751,10
shallow,single_site_gibbs,0.75,0.2529933848071853,0.048745447871566004,10
shallow,single_site_gibbs,0.8,0.3165370151239794,0.18986463496977993,10
shallow,single_site_gibbs,0.85,0.5945587745977718,0.49096460627122007,10
shallow,single_site_gibbs,0.9,0.6767727557970032,0.5685227812528376,10
shallow,single_site_gibbs,0.95,0.9540031410492981,1.1668818804076235,10
shallow,single_site_gibbs,1.0,0.910408357332701,0.5239510674240664,10
shallow,single_site_gibbs,1.05,1.863655819619776,1.1282415126949017,10
shallow,single_site_gibbs,1.1,2.9766337196036594,2.330902092804621,10
shallow,single_site_gibbs,1.15,2.8694876798572673,2.181884241834812,10
shallow,single_site_gibbs,1.2,3.0203124707097446,1.5140964620882233,10
shallow,single_site_gibbs,1.25,4.7227225018046495,2.1630783729960616,10
uniform,block_gibbs,0.7,0.12785008227214897,0.07021174593671767,10
uniform,block_gibbs,0.75,0.24755255536825765,0.1303609867853695,10
uniform,block_gibbs,0.8,0.22470210715208955,0.15315247183199346,10
uniform,block_gibbs,0.85,0.5299796621038608,0.3922051213958191,10
uniform,block_gibbs,0.9,0.591546545476641,0.45618297308718075,10
uniform,block_gibbs,0.95,0.28375215218402106,0.14515792773429198,10
uniform,block_gibbs,1.0,0.6329061613656798,0.42795652403380047,10
uniform,block_gibbs,1.05,0.9597649572725778,0.7886352463669332,10
uniform,block_gibbs,1.1,1.4967828984694163,2.2317858415856606,10
uniform,block_gibbs,1.15,0.8624774932668627,0.7426723904271827,10
uniform,block_gibbs,1.2,1.7794009105819921,1.4664200190113117,10
uniform,block_gibbs,1.25,1.5958443589197204,1.7420399797439807,10
uniform,rw_mh,0.7,1.4926845089659304,0.4424540085871436,10
uniform,rw_mh,0.75,2.199480001822739,0.5496565138498583,10
uniform,rw_mh,0.8,2.5118016791628985,0.629350903123202,10
uniform,rw_mh,0.85,3.4809132093765944,0.682886201751019,10
uniform,rw_mh,0.9,3.974680735626498,1.3294680828971395,10
uniform,rw_mh,0.95,2.9972938267896665,0.9699711185306475,10
uniform,rw_mh,1.0,4.251968823279922,1.9126626421737916,10
uniform,rw_mh,1.05,5.888474881214695,1.7759888358277693,10
uniform,rw_mh,1.1,6.2404210403018725,3.6048388577586277,10
uniform,rw_mh,1.15,6.378155191430548,2.503883328298918,10
uniform,rw_mh,1.2,7.8764900730081635,2.8919351108255227,10
uniform,rw_mh,1.25,8.564651689857993,3.904793279423581,10
uniform,single_site_gibbs,0.7,0.13356008082455756,0.06554062571013207,10
uniform,single_site_gibbs,0.75,0.29122445276871467,0.3299501280790919,10
uniform,single_site_gibbs,0.8,0.22605145002710927,0.0947343462409012,10
uniform,single_site_gibbs,0.85,0.39084659420681744,0.15505937436542777,10
uniform,single_site_gibbs,0.9,0.5438614461087757,0.43175556243875,10
uniform,single_site_gibbs,0.95,0.28912197727847366,0.18366025161348853,10
uniform,single_site_gibbs,1.0,0.5337410725806431,0.46949775858782505,10
uniform,single_site_gibbs,1.05,1.142971331067473,0.7429914901690792,10
uniform,single_site_gibbs,1.1,0.8634832212687691,0.6259776879168624,10
uniform,single_site_gibbs,1.15,0.9865728964894986,0.8361750276134773,10
uniform,single_site_gibbs,1.2,1.1279983235373405,0.5672788614683338,10
uniform,single_site_gibbs,1.25,1.5687097777894121,1.0340174201389636,10
