observation_strategy,method,correlation,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
deep,block_gibbs,0.8,10.556678566098563,8.648878942042352,110
deep,rw_mh,0.8,46.55932407154558,25.53953342043388,110
deep,single_site_gibbs,0.8,10.828616238770367,8.601532980522256,110
shallow,block_gibbs,0.8,63.44388438694468,55.633496048790334,110
shallow,rw_mh,0.8,153.5435680995421,99.5651967805812,110
shallow,single_site_gibbs,0.8,62.32537576317202,59.184377051462086,110
uniform,block_gibbs,0.8,28.97403755525255,28.667723850589905,110
uniform,rw_mh,0.8,86.4031183115703,56.39340719309904,110
uniform,single_site_gibbs,0.8,29.13043715564888,30.262110323298828,110
