observation_strategy,method,sparsity,variance_rmse_mean,variance_rmse_std,n_runs
deep,block_gibbs,0.6,0.456984653421404,0.35318179894532176,110
deep,rw_mh,0.6,3.4461621472896597,1.3515957472541684,110
deep,single_site_gibbs,0.6,0.4478882594432288,0.3512141841503582,110
shallow,block_gibbs,0.6,2.4274918126013105,1.8270108531524112,110
shallow,rw_mh,0.6,10.341845854081482,5.242839885751723,110
shallow,single_site_gibbs,0.6,2.3572685849174864,1.9519344432312462,110
uniform,block_gibbs,0.6,1.1808475720593694,1.1404048769400679,110
uniform,rw_mh,0.6,6.01904962746503,3.1010586391390063,110
uniform,single_site_gibbs,0.6,1.1490159265022484,1.1635553995844825,110
