observation_strategy,method,sparsity,ess_mean_mean,ess_mean_std,n_runs
deep,block_gibbs,0.4,315.9333515431255,79.28764219414884,10
deep,block_gibbs,0.45,319.4622996140168,94.05127079670099,10
deep,block_gibbs,0.5,281.20805982643407,76.714256566738,10
deep,block_gibbs,0.55,289.7549859447216,72.21611610945465,10
deep,block_gibbs,0.6,296.5208292372653,102.98546594619145,10
deep,block_gibbs,0.65,235.5695237782275,85.84561086416294,10
deep,block_gibbs,0.7,255.98529286684698,128.139625684927,10
deep,block_gibbs,0.75,238.60056497018542,75.49815844239787,10
deep,rw_mh,0.4,1.979873465245613,2.0473484563303685,10
deep,rw_mh,0.45,1.9973884520307255,2.1027357077590736,10
deep,rw_mh,0.5,5.615888140838941,10.382880286772215,10
deep,rw_mh,0.55,1.332445036642239,0.0,10
deep,rw_mh,0.6,3.1278844739253855,5.677678022705782,10
deep,rw_mh,0.65,4.661336886520097,10.52688032998534,10
deep,rw_mh,0.7,11.319120586275812,16.08007531463318,10
deep,rw_mh,0.75,11.319120586275812,16.080075314633177,10
deep,single_site_gibbs,0.4,259.4709040874538,68.06744887121624,10
deep,single_site_gibbs,0.45,236.43410994570613,49.31852604043228,10
deep,single_site_gibbs,0.5,205.81222571091817,48.91892753575495,10
deep,single_site_gibbs,0.55,188.56514363814122,47.19751979717847,10
deep,single_site_gibbs,0.6,193.18895036660427,71.35180129096568,10
deep,single_site_gibbs,0.65,150.87454428510816,55.735469610189114,10
deep,single_site_gibbs,0.7,170.0683299453716,76.80176316430338,10
deep,single_site_gibbs,0.75,152.95768056194635,47.441552235438586,10
shallow,block_gibbs,0.4,144.81801226750252,46.3848496999327,10
shallow,block_gibbs,0.45,118.53772437132707,49.69736115118418,10
shallow,block_gibbs,0.5,101.28484152683102,29.63706193520759,10
shallow,block_gibbs,0.55,106.61415623357095,47.47570882745903,10
shallow,block_gibbs,0.6,70.79341041092852,16.9307253755682,10
shallow,block_gibbs,0.65,67.26718051361686,36.350446121469965,10
shallow,block_gibbs,0.7,79.82022482736335,39.01047858400297,10
shallow,block_gibbs,0.75,47.03484288389423,15.263474363985726,10
shallow,rw_mh,0.4,7.992973350955014,10.322216746741855,10
shallow,rw_mh,0.45,2.616485820073681,2.774197013148763,10
shallow,rw_mh,0.5,31.44547450901654,77.85787246331104,10
shallow,rw_mh,0.55,4.847291148927935,10.477852630183492,10
shallow,rw_mh,0.6,1.332445036642239,0.0,10
shallow,rw_mh,0.65,2.148479109680596,1.7873908940238266,10
shallow,rw_mh,0.7,7.990228736397955,14.035840439980456,10
shallow,rw_mh,0.75,7.990228736397955,14.035840439980456,10
shallow,single_site_gibbs,0.4,126.65417610253742,42.35563154596454,10
shallow,single_site_gibbs,0.45,111.87461143458229,46.209381619412795,10
shallow,single_site_gibbs,0.5,87.67608624987186,28.768519580848906,10
shallow,single_site_gibbs,0.55,88.53819439602702,33.2350539688369,10
shallow,single_site_gibbs,0.6,64.30411356044333,19.538861484766116,10
shallow,single_site_gibbs,0.65,60.96495999828485,16.727505003592814,10
shallow,single_site_gibbs,0.7,63.43550885359764,28.39197196417388,10
shallow,single_site_gibbs,0.75,43.588798015994755,17.77696266267588,10
uniform,block_gibbs,0.4,247.0148973523802,66.38216685298758,10
uniform,block_gibbs,0.45,183.3503075501729,82.45071425431128,10
uniform,block_gibbs,0.5,180.99993250115932,55.002416699671436,10
uniform,block_gibbs,0.55,129.43376063522427,65.55379820645902,10
uniform,block_gibbs,0.6,172.37595573802545,40.33886177338336,10
uniform,block_gibbs,0.65,182.21728246487686,85.01688129737467,10
uniform,block_gibbs,0.7,219.16267533155138,106.43243225649915,10
uniform,block_gibbs,0.75,113.94881439950568,50.6162898298451,10
uniform,rw_mh,0.4,10.030209923541062,13.332021096212555,10
uniform,rw_mh,0.45,3.5783944440906708,3.15106159953337,10
uniform,rw_mh,0.5,9.861830470137516,20.984088999292656,10
uniform,rw_mh,0.55,5.415221486916537,10.409451483079492,10
uniform,rw_mh,0.6,5.808720707791099,10.32570265907966,10
uniform,rw_mh,0.65,11.926523750867354,15.77270887344683,10
uniform,rw_mh,0.7,4.661336886520099,10.526880329985346,10
uniform,rw_mh,0.75,7.990228736397955,14.035840439980456,10
uniform,single_site_gibbs,0.4,197.17405172666426,53.236397949916174,10
uniform,single_site_gibbs,0.45,144.69861834914485,58.61074650577819,10
uniform,single_site_gibbs,0.5,148.69138049209317,41.59510936258796,10
uniform,single_site_gibbs,0.55,109.68892147741091,47.21944547391363,10
uniform,single_site_gibbs,0.6,130.6103118038481,25.471844646911702,10
uniform,single_site_gibbs,0.65,109.02837312421927,44.54229571022658,10
uniform,single_site_gibbs,0.7,142.5944678553779,53.09005088293006,10
uniform,single_site_gibbs,0.75,80.55087515215212,27.639999009653582,10
